Column,Column,2010,2009
,Note,Kshs ‘000,Kshs ‘000
Profit for the year,,"1,839,124","913,673"
Other comprehensive income,,,
"Change in fair value of financial assets at fair value through other comprehensive
income",18 & 19,"220,958","(108,831)"
Net translation loss,13 ( c ),"(69,822)","(24,080)"
Total other comprehensive income for the year,,"151,136","(132,911)"
Total comprehensive income for the year,,"1,990,260","780,762"
Attributable to:,,,
Equityholders of the Company,,"1,932,948","708,869"
Non-controlling interest,,"57,312","71,893"
Total comprehensive income for the year,,"1,990,260","780,761"
