Year ended 31 December 2023,Up to 1 month,1 to 3 months,3 to 12 months,Over 1 year,Total
,KSHS '000,KSHS '000,KSHS '000,KSHS '000,KSHS '000
Assets,,,,,
Mortgage loans,-,-,"3,465","19,638","23,103"
Government securities,"395,877","4,294","4,452,813","114,044,451","118,897,435"
Other receivables,"960,613","877,853","979,254","1,382,264","4,199,984"
Loan receivables through profit and loss,"1,327,192","2,576,313",-,-,"3,903,505"
Insurance and reinsurance receivables,"682,042","2,600,286","990,016",-,"4,272,344"
"Deposits with financial institutions and cash and bank
balances","2,502,170","2,918,227","3,834,476",-,"9,254,873"
Total assets,"3,848,242","7,576,973","9,631,327","114,883,798","135,940,341"
Liabilities,,,,,
Lease liabilities,"63,357","84,475","42,238","288,807","478,877"
Dividend and other payables,"1,125,346","1,375,423","3,751,153",-,"6,251,922"
Insurance contract liabilities,"1,712,797","1,451,315","10,786,862","115,495,013","129,445,987"
Reinsurance contract liabilities,-,-,"276,778",-,"276,778"
Total liabilities,"2,901,500","2,911,213","14,857,031","115,783,820","136,453,564"
Excess/(shortfall) of assets over liabilities,"2,966,394","6,065,760","(4,600,472)","(357,105)","4,074,577"
