Geographical Segment results,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
for the year ended 31 December 2010,Kenya,uganda,Tanzania,Mauritius,Burundi,Total
Gross earned premium revenue,"5,511,403","1,486,195","1,477,822",455,"16,823","8,492,698"
Less: outward reinsurance,"1,192,962","957,502","964,986",289,"16,823","3,132,562"
Net insurance premium revenue,"4,318,441","528,693","512,836",166,-,"5,360,136"
Investment and other income,"1,794,002","288,548","61,057","5,429",256,"2,149,292"
Commission earned,"246,625","205,771","174,514",111,473,"627,494"
"Net fair value gains on financial assets at fair-
value-through profit & loss","1,633,103",-,-,-,-,"1,633,103"
Total income,"7,992,171","1,023,012","748,407","5,706",729,"9,770,025"
Claims and policy holders benefits payable,"6,211,807","775,282","530,388","(1,325)",269,"7,516,421"
Claims recoverable from re-insurers,"1,212,275","482,475","204,143","(1,420)",232,"1,897,705"
Net insurance benefits and claims,"4,999,532","292,807","326,245",95,37,"5,618,716"
Operating and other expenses,"894,245","226,109","177,259","10,306","7,135","1,315,054"
Commission payable,"823,059","138,919","181,398",67,95,"1,143,538"
Total expenses and commissions,"1,717,304","365,028","358,657","10,373","7,230","2,458,592"
Result of operating activities,"1,275,335","365,177","63,505","(4,762)","(6,538)","1,692,717"
Finance costs,-,"(60,409)",-,-,-,"(60,409)"
Share of result of associates,"184,356","121,551",-,"115,072",-,"420,979"
Group profit before income tax,"1,459,691","426,319","63,505","110,310","(6,538)","2,053,287"
Income tax expense,"101,090","95,338","17,735",-,-,"214,163"
Profit for the year,"1,358,601","330,981","45,770","110,310","(6,538)","1,839,124"
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
for the year ended 31 December 2009,Kenya,uganda,Tanzania,Mauritius,Burundi,Total
Gross earned premium revenue,"4,490,680","1,422,162","1,156,197",-,-,"7,069,039"
Less: outward reinsurance,"457,935","1,014,813","646,157",-,-,"2,118,905"
Net insurance premium revenue,"4,032,745","407,349","510,040",-,-,"4,950,134"
Investment and other income,"1,074,966","195,518","52,618",(713),-,"1,322,389"
Commission earned,"96,587","208,358","149,383",-,-,"454,328"
"Net fair value gains on financial assets at fair-
value-through profit & loss","322,961",-,-,-,-,"322,961"
Total income,"5,527,259","811,225","712,041",(713),-,"7,049,812"
Claims and policy holders benefits payable,"3,807,174","418,375","602,470","10,954",-,"4,838,973"
Claims recoverable from re-insurers,"315,758","208,859","311,996","12,192",-,"848,805"
Net insurance benefits and claims,"3,491,416","209,516","290,474","(1,238)",-,"3,990,168"
Operating and other expenses,"818,434","226,518","145,783","4,770",-,"1,195,505"
Commission payable,"638,290","136,550","168,677",-,-,"943,517"
Total expenses and commissions,"1,456,724","363,068","314,460","4,770",-,"2,139,022"
Result of operating activities,"579,119","238,641","107,107","(4,245)",-,"920,622"
Finance costs,-,"(46,372)",-,-,-,"(46,372)"
Share of result of associates,"199,712",-,-,"41,814",-,"241,526"
Group profit before income tax,"778,831","192,269","107,107","37,569",-,"1,115,776"
Income tax expense,"108,578","62,244","31,281",-,-,"202,103"
Profit for the year,"670,253","130,025","75,826","37,569",-,"913,673"
