Column,Stage 1,Stage 2,Stage 3,Total
31 December 2023,Kes'000,Kes'000,Kes'000,Kes'000
Government Securities at amortised cost,"115,719,071",-,-,"115,719,071"
Mortgage loans,"23,105",-,-,"23,105"
Other receivables,"2,426,140",-,-,"2,426,140"
Loan,"3,903,505",-,-,"3,903,505"
Deposits with financial institutions,"7,035,221",-,-,"7,035,221"
Cash at Bank,"2,161,408",-,-,"2,161,408"
Exposure to Credit Risk,"131,268,450",-,-,"131,268,450"
,Stage 1,Stage 2,Stage 3,Total
31 December 2022,Kes'000,Kes'000,Kes'000,Kes'000
Government Securities at amortised cost,"100,741,511",-,-,"100,741,511"
Mortgage loans,"26,275",-,-,"26,275"
Other receivables,"3,824,004",-,-,"3,824,004"
Loan,"3,172,707",-,-,"3,172,707"
Deposits with financial institutions,"4,002,631",-,-,"4,002,631"
Cash at Bank,"2,147,888",-,-,"2,147,888"
Exposure to Credit Risk,"113,915,016",-,-,"113,915,016"
