Unaudited Consolidated Statement of Financial Position as at 30 June 2019,Column,Column,Column,Column
,,Jun-20,Jun-19,Dec-19
,,Kes'000,Kes'000,Kes'000
,,,,Audited
CAPITAL AND RESERVES,,,,
Share capital,,"362,365","362,365","362,365"
Fair value reserves,,"(296,892)","(69,288)","49,847"
General reserves,,"70,000","70,000","70,000"
Contingency reserves,,"1,509,194","1,233,277","1,427,497"
Translation reserves,,"(666,393)","(804,236)","(902,683)"
Statutory Reserve,,"2,042,638","3,598,306","2,042,638"
Retained earnings,,"26,037,217","23,222,987","24,618,483"
Proposed dividends,,"652,257",-,"579,784"
Equity attributable to owners of the company,,"29,710,386","27,613,411","28,247,931"
Non-controlling interest,,"2,580,655","2,141,861","2,273,699"
Total equity,,"32,291,041","29,755,272","30,521,630"
ASSETS,,,,
Intangible asset,,"119,005","110,910","277,126"
Property and equipment,,"273,757","321,990","287,574"
Investment properties,,"6,598,106","6,556,730","6,524,969"
Right of use asset,,"443,478",-,"321,087"
Investment in associates,,"14,489,137","10,369,851","10,161,518"
Deferred income tax asset,,"611,515","357,396","605,026"
,Unquoted equity investments at fair value through,"6,214,066","4,345,603","6,237,885"
,profit or loss,,,
,Unquoted equity investments at fair value through,"195,793","195,793","196,782"
,other comprehensive income,,,
,Quoted equity investments at fair value through profit,"3,039,729","4,075,111","4,082,470"
,or loss,,,
,Quoted equity investments at fair value through other,"939,544","1,326,852","1,282,162"
,comprehensive income,,,
Mortgage loans,,"93,027","66,236","49,663"
Loans on life insurance policies,,"1,015,751","899,933","1,004,928"
Government securities at amortized cost,,"74,080,882","60,203,979","67,096,380"
Commercial bonds,,-,"810,678","579,736"
,Receivables arising out of direct insurance,"5,365,273","5,599,551","4,013,290"
,arrangements,,,
Receivables arising out of reinsurance arrangements,,"1,474,326","1,696,649","2,334,250"
Reinsurers’ share of insurance contract liabilities,,"7,595,560","7,933,378","7,131,813"
Deferred acquisition costs,,"68,848","284,980","447,631"
Other receivables,,"2,150,935","2,886,312","1,874,749"
Current income tax recoverable,,"585,126","421,742","547,902"
Deposits with financial institutions,,"6,831,458","10,175,390","9,496,402"
Cash and bank balances,,"7,923,715","5,653,318","5,523,595"
Total assets,,"140,109,031","124,292,382","130,076,938"
LIABILITIES,,,,
Deferred income tax liability,,"925,457","162,506","748,496"
Insurance contract liabilities,,"31,590,435","28,553,087","29,729,180"
Payable under deposit administration contracts,,"57,309,597","49,851,363","54,893,923"
Lease liability,,"318,187",-,"284,765"
Unearned premium reserve,,"9,861,103","10,011,882","8,414,682"
Creditors arising out of direct insurance arrangements,,"230,045","202,402","278,157"
Creditors arising out of reinsurance arrangements,,"1,045,186","1,308,334","1,607,549"
Other payables,,"3,399,257","3,260,165","3,037,763"
Dividends payable,,"455,810","1,011,078","473,034"
Borrowings,,"2,418,880",-,-
Current income tax payable,,"264,033","176,293","87,759"
Total liabilities,,"107,817,990","94,537,110","99,555,308"
Net assets,,"32,291,041","29,755,272","30,521,630"
