35%,49%,20%,30%,20%,-,-
"4,974,371","3,648,405","840,411","447,828","92,243",-,"10,003,258"
"3,538,914","2,841,132","865,702","400,928","79,588",-,"7,726,264"
"1,435,457","807,273","(25,291)","46,900","12,655",-,"2,276,994"
"502,171","395,564","(5,058)","14,070","2,531",-,"909,278"
"1,004,326","1,139,850","371,232","59,993",-,-,"2,575,401"
"378,853","220,544","5,905","16,704","6,357",-,"628,363"
"96,521","(7,718)",(27),27,6,-,"88,809"
"475,374","212,826","5,878","16,731","6,363",-,"717,172"
"132,598","108,067","1,181","5,011","1,271",-,"248,128"
"33,782","(3,782)",(5),8,1,"(48,910)","(18,906)"
"227,350","178,358","(8,688)","66,513","(2,662)",-,"460,871"
"(115,110)","(151,538)",958,"9,105","9,601",-,"(246,984)"
"(100,974)","(27,940)",-,-,-,-,"(128,914)"
"11,266","(1,120)","(7,730)","75,618","6,939",-,"84,973"
