Column,2023,2022
,Kes '000,Kes '000
ii) Balances with related parties,,
a) Group,,
Outstanding premium:,,
Diamond Trust Bank Limited,(63),708
Industrial Promotion Services (Kenya) Limited,(73),(87)
TPS Eastern Africa Limited,-,(953)
Property Development and Management Limited,145,21
Nation Media Group,"7,948","11,610"
Total,"7,957","11,299"
Outstanding claims:,,
Diamond Trust Bank Limited,"13,594","5,529"
Industrial Promotion Services (Kenya) Limited,225,293
TPS Eastern Africa Limited,-,-
Property Development and Management Limited,"4,256",51
Nation Media Group,"4,572","4,572"
Total,"22,647","10,445"
Deposits with financial institutions,,
Diamond Trust Bank Limited,"1,521,950","2,058,197"
Total,"1,521,950","2,058,197"
Interest received from financial institutions,,
Diamond Trust Bank Limited,"213,358","323,108"
Total,"213,358","323,108"
