Column,Column,2023,Restated 2022,Restated 2021
,Note,Kes '000,Kes '000,Kes '000
ASSETS,,,,
Investment in associates,17,"25,205,100","20,716,446","17,736,622"
Investment properties,16,"7,587,756","6,854,995","6,916,284"
"Property, plant and equipment",15 (i),"2,451,352","1,675,857","1,105,587"
Right of use asset,37 (i),"415,640","379,459","423,152"
Intangible assets,15 (ii),"194,422","114,801","43,234"
Deferred tax asset,18 (iii),"973,682","697,059","722,382"
Unquoted equity investments,19,"7,579,146","7,154,682","6,962,646"
Mortgage loans,22,"23,105","26,275","40,799"
Quoted equity investments,23,"4,292,865","5,418,166","5,067,350"
Government Securities,20 (i),"122,278,318","108,166,074","92,316,666"
Commercial Bonds,20 (ii),"8,078","8,978",-
Reinsurance Contract assets,28,"4,262,764","3,331,723","2,914,490"
Other receivables,24,"2,426,140","3,824,004","3,142,436"
Current income tax asset,18 (ii),"898,140","933,526","479,236"
Loan receivable at fair value through profit or loss,21,"3,903,505","3,172,707","1,712,789"
Assets classified as held for sale,39,-,-,"5,956,995"
Deposits with financial institutions,25 (i),"7,035,221","4,002,632","4,566,014"
Cash and Bank balances,25 (ii),"2,161,408","2,147,889","2,339,737"
Total assets,,"191,696,642","168,625,273","152,446,419"
LIABILITIES,,,,
Lease Liability,37 (ii),"422,377","393,618","415,785"
Deferred tax liability,18 (iii),"1,365,953","1,067,495","1,099,680"
Insurance contract liabilities,27,"129,445,987","114,395,062","97,914,521"
Reinsurance contract liabilities,27,"276,778","154,489","259,303"
Dividend payables,34 (ii),"501,690","492,038","444,003"
Current Income tax liability,18 (ii),"78,950","106,625","162,709"
Other payables,26,"5,330,004","3,613,612","3,241,364"
Borrowings,38 (i),-,"1,234,713","1,836,937"
Liabilities directly associated with assets classified as held for sale,39,-,-,"4,525,079"
Total liabilities,,"137,421,739","121,457,652","109,899,381"
EQUITY,,,,
Share Capital,31,"362,365","362,365","362,365"
Retained earnings,33,"39,798,253","37,144,122","33,364,095"
Reserves,32,"10,667,346","6,397,697","4,970,816"
Proposed dividends,34 (i),"891,417","797,203","942,148"
Equity attributable to owners of the company,,"51,719,381","44,701,387","39,639,424"
Non-controlling interest,17 (iii),"2,555,522","2,466,234","2,907,614"
Total equity,,"54,274,903","47,167,621","42,547,038"
Total liabilities and equity,,"191,696,642","168,625,273","152,446,419"
