Movement,FV Through P&L,Column,Amortized cost,Total,FV Through P&L,Amortized cost,Total
,2024,,2024,2024,2023,2023,2023
,KShs'000,,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000
At start of year,"26,399,608",,"92,532,703","118,932,312","27,481,658","79,320,864","106,802,522"
Additions,"3,064,063",,"26,556,602","29,620,665","2,935,027","15,505,290","18,440,317"
Disposals,"(1,381,021)",,"(6,619,646)","(8,000,667)","(1,722,137)","(5,730,071)","(7,452,208)"
Unearned amortized discount,-,,"(1,735,089)","(1,735,089)",-,"(1,082,014)","(1,082,014)"
Accrued Interest,"908,085",,"3,892,307","4,800,392","710,211","2,403,401","3,113,611"
"Fair value gains/(losses) through
profit or loss",,"2,003,442",-,"2,003,442","(2,968,103)",-,"(2,968,103)"
Exchange differences,"(266,369)",,"(1,836,028)","(2,102,397)","(37,047)","2,115,233","2,078,186"
Total at the end of the year,"30,727,807",,"112,790,849","143,518,658","26,399,608","92,532,703","118,932,312"
Expected credit loss,-,,"(46,007)","(46,007)",-,"(34,876)","(34,876)"
Total at the end of the year,"30,727,809",,"112,744,842","143,472,651","26,399,608","92,497,827","118,897,436"
