Column,Column,Group,Column
,,2024,2023 *Restated
,Note,KShs ‘000,KShs ‘000
Profit before tax,,"6,224,690","2,780,809"
Adjustments for:,,,
Depreciation of PPE,15,"100,916","84,981"
Amortization of intangible assets,15,"58,233","38,062"
Depreciation of ROU assets,37(a),"149,420","92,606"
Interest income received,9,"(17,058,937)","(14,508,841)"
Interest expenses on borrowings,37(iii),,"129,375"
Write-off of mortgage loans,22,"18,372",
Dividends from equity investments,10,"(457,446)","(398,039)"
Exchange differences,10,"512,634","(1,295,859)"
Interest on lease liability,37(b),"114,581","57,362"
Gain on sale of financial debt securities at fair value,10(a),-,"(299,209)"
Loss on disposal of PPE,15(a),"48,912","29,634"
Fair value gains on investment property,16,"146,347","11,647"
Fair value losses on quoted equity investments,14,"(1,453,716)","1,219,612"
Fair value losses on unquoted equity investments,14,"(301,071)","73,008"
Fair value losses on government securities,14,"(2,003,442)","2,968,103"
Fair value losses on loans through FVTPL,14,"296,678","29,801"
,,-,"34,876"
Share of associates profit,17(i),"(1,709,992)","(2,793,114)"
,,"(15,313,821)","(11,745,186)"
Working capital changes,,,
Reinsurance contract assets,28,"344,740","(931,040)"
Increase (decrease) in deposits from financial institutions,25(i),"1,301,983","(1,795,466)"
Other receivables,24,"(474,026)","(385,561)"
Insurance contract liabilities,28,"22,978,836","15,410,495"
Reinsurance contract liabilities,27,"(25,324)","122,289"
Dividends payable,34(ii),"43,156","9,652"
Other payables,26,"(1,105,653)","4,273,451"
,,-,
Cash generated from operations,,"7,749,891","4,958,634"
