"Estimates of
present val-
ue of future
cash flows","Risk adjust-
ment for
non-finan-
cial risk",CSM,Column,Total
,,"Contracts under
modified retrospec-
tive approach","Contracts under
fair value ap-
proach",
Kes 000,Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,-,-
"(14,064,640)","(604,094)","(1,603,799)","(446,884)","(16,719,417)"
"(14,064,640)","(604,094)","(1,603,799)","(446,884)","16,719,418"
-,-,-,-,-
-,-,"63,000",-,"63,000"
-,"500,974",-,-,"500,974"
"(1,149,553)",-,,,"(1,149,553)"
"(1,149,553)","500,974","63,000",-,"(585,579)"
"(235,224)","166,147","422,407","401,712","755,042"
"434,573","(15,287)","(507,559)","88,273",-
"427,638",-,,,"427,638"
"626,987","150,860","777,847","489,985","1,182,680"
"(362,747)",-,-,-,"(362,747)"
"(362,747)",-,-,-,"(362,747)"
"(885,313)","651,834","840,847","489,985","234,354"
"2,369,307",,"176,945",,"2,546,252"
-,-,-,-,-
"996,466",-,-,-,"996,466"
"3,365,773",-,"176,945",-,"3,542,718"
-,-,-,-,-
-,-,-,-,
"4,699,236",-,,,"4,699,236"
"(1,648,628)",-,-,-,"(1,648,628)"
"(4,029,555)",-,,,"(4,029,555)"
"(12,563,127)","47,740","(586,007)","43,101","19,517,543"
-,-,-,-,-
"(12,563,127)","47,740","(586,007)","43,101","19,517,543"
"12,563,127","(47,740)","586,007","(43,101)","(19,517,543)"
