"4,145,139","3,949,285"
"116,081","84,701"
"138,583","123,247"
"1,109,494","(1,234,767)"
"(6,093,468)","(4,833,582)"
"(1,052,012)","(1,481,568)"
"(1,636,183)","(3,392,684)"
"4,334,110","6,362,350"
"1,215,181","4,488,552"
"(1,286,558)",(982)
"956,177","(578,928)"
"3,582,727","6,878,308"
"(888,044)","(657,445)"
"2,694,683","6,220,863"
"5,247,934","4,234,650"
"740,889","213,445"
"368,332","151,465"
812,"3,204"
"(108,932)","492,016"
"(205,984)","(134,564)"
"(84,699)","(106,031)"
"(330,745)","(1,297,005)"
"(11,784)","(6,862)"
"(34,307)","(26,011)"
"8,498","11,630"
"(232,528)","(117,281)"
"99,028","268,087"
"(7,665,194)","(2,855,596)"
"(163,269)","(809,102)"
"(2,371,949)","22,045"
"(1,373,680)",-
"(515,097)","(419,265)"
"(1,888,777)","(419,265)"
"(1,566,043)","5,823,643"
"12,146,381","6,736,558"
"310,242","(413,820)"
"10,890,580","12,146,381"
