Column,2010,2009
,Kshs ‘000,Kshs ‘000
Mortgage loan interest,"6,848","5,420"
Bank deposit interest,"357,439","346,155"
Government securities interest,"576,756","442,379"
Interest on policy loans,"28,384","25,659"
Dividends receivable from equity investments,"216,808","234,464"
Rental income from investment properties (net of expenses),"219,141","251,381"
Fair value gain on investment properties (Note 16),"241,900",-
Exchange gain/ (loss),"47,158","(7,088)"
Realsied gains on disposal of quoted Shares,"354,505",389
Realsied gains on disposal of government securities,"62,770",-
Other income,"37,583","23,630"
Total,"2,149,292","1,322,389"
