Column,Column,2024,"2023
*Restated","2022
*Restated"
,Note,KShs ‘000,KShs ‘000,KShs ‘000
ASSETS,,,,
Investment in associates,17,"21,850,330","25,205,100","20,716,447"
Investment properties,16,"6,408,799","7,582,206","6,854,995"
Deferred tax asset,18(iii),"835,942","898,838","697,059"
"Property, plant and equipment",15(a),"2,685,172","2,499,348","1,675,857"
Right of use asset,37(a),"395,745","415,639","379,459"
Intangible assets,15(b),"194,871","146,337","114,801"
Unquoted equity investments,19,"7,510,676","7,928,681","7,154,682"
Mortgage loans,22,"31,000","23,103","26,275"
Quoted equity investments,23,"6,299,866","4,292,866","5,418,166"
Government securities,20(i),"143,472,651","118,897,435","106,802,522"
Commercial bonds,20(ii),"7,098","40,627","8,978"
Reinsurance contract assets,27,"3,918,023","4,262,763","3,331,723"
Other receivables,24,"4,683,591","4,209,565","3,824,004"
Current income tax asset,18(ii),"982,699","956,544","933,526"
Loan receivable at fair value through profit or loss,21,"3,058,520","3,903,505","3,172,707"
Deposits with financial institutions,25(i),"8,669,113","6,978,058","4,002,632"
Cash and bank balances,25(ii),"2,573,659","2,276,815","2,147,889"
Total assets,,"213,577,755","190,517,430","167,261,721"
LIABILITIES,,,,
Deferred tax liability,18(iii),"1,644,224","1,291,111","1,067,495"
Lease liability,37(b),"340,600","422,376","393,618"
Insurance contract liabilities,27,"152,784,393","129,805,557","114,395,062"
Reinsurance contract liabilities,27,"251,454","276,778","154,489"
Dividend payables,34(b),"544,846","501,690","492,038"
Current income tax liability,18(ii),"48,510","84,307","106,625"
Other payables,26,"6,781,409","7,887,062","3,613,611"
Borrowings,38(i),-,-,"1,234,713"
Total liabilities,,"162,395,436","140,268,881","121,457,651"
EQUITY,,,,
Share capital,31,"362,365","362,365","362,365"
Retained earnings,33,"40,409,541","36,595,306","35,780,570"
Reserves,32,"7,508,220","10,997,761","8,068,377"
Proposed dividends,34(i),"833,439","891,417","797,203"
Equity attributable to owners of the company,,"49,113,565","48,846,849","45,008,515"
Non-controlling interest,17(ii),"2,068,753","1,401,700","795,555"
Total equity,,"51,182,319","50,248,549","45,804,070"
Total liabilities and equity,,"213,577,755","190,517,430","167,261,721"
