Column,Names,Number of shares held,% Shareholding
1,Aga Khan Fund for Economic Development,"27,528,739",37.98%
2,Pyrus Investments Limited,"7,531,980",10.39%
3,Stanbic Nominees Ltd. A/c NR3530153-1,"1,599,759",2.21%
4,Freight Forwarders Limited,"1,540,509",2.13%
5,United Housing Estates Limited,"1,314,947",1.81%
6,Adam’s Brown and Company Limited,"1,294,830",1.79%
7,Investments & Mortgages Nominees Limited A/c 002983,"800,000",1.10%
8,Gulshan Noorali Sayani,"362,507",0.50%
9,Co-op Bank Custody A/c 23000,"260,300",0.36%
10,Leila Amyn Abdulmalik Kanji,"250,151",0.35%
,Total top 10 largest shareholders,"42,483,722",58.62%
,Others,"29,989,228",41.38%
,TOTAL,"72,472,950",100.00%
