Column,Names,Number of shares held,% Shareholding
1,Aga Khan Fund for Economic Development,"27,528,739",37.98%
2,Pyrus Investments Limited,"7,640,480",10.54%
3,Stanbic Nominees Ltd. A/c NR3530153-1,"2,335,523",3.22%
4,Freight Forwarders Limited,"1,623,305",2.24%
5,United Housing Estates Limited,"1,314,947",1.81%
6,Adam’s Brown and Company Limited,"1,294,830",1.79%
7,Investments & Mortgages Nominees Limited A/c 003746,"402,350",0.56%
8,Investments & Mortgages Nominees Limited A/c 003745,"402,350",0.56%
9,Gulshan Noorali Sayani,"362,507",0.50%
10,Standard Chartered Nominees Non-resd. A/c KE10085,"346,437",0.48%
,Total top 10 largest shareholders,"43,251,468",59.68%
,Others,"29,221,482",40.32%
,TOTAL,"72,472,950",100%
