Transactions with related parties (Company),2023,2022
,Kes '000,Kes '000
Due from related parties:,,
Jubilee Insurance Company of Uganda Limited,-,-
Jubilee Life Insurance Company-Uganda,"21,521","6,697"
Jubilee Insurance Company of Tanzania Limited,"10,357","10,357"
Jubilee Life Tanzania,"25,671","17,596"
Jubilee Insurance (Mauritius) Ltd,"20,468","20,094"
Jubilee Financial Services Limited,"14,186","1,650"
Jubilee Investments Company of Burundi,-,-
Jubilee Health Insurance Limited,"107,358","1,006"
Jubilee Life Insurance Limited,"90,512","(23,170)"
Jubilee Life Insurance Company of Burundi,122,-
Jubilee Health Insurance Company of Uganda Limited,"37,907","20,906"
JHL Properties Limited,"273,300","102,581"
Jubilee Health Insurance Corporation of Tanzania Limited,"324,622","86,823"
Jubilee Allianz Insurance Company of Kenya Limited,"3,495","1,367"
Total,"929,519","245,907"
Due to related parties,,
Jubilee Insurance Company of Kenya Limited,-,-
Jubilee Insurance Company of Tanzania Limited,-,-
Jubilee Life Insurance Corporation of Tanzania Limited,-,-
Jubilee Insurance Company of Uganda Limited,-,"2,075"
Jubilee Life Insurance Company of Uganda Limited,-,-
Jubilee Investment Company Limited (Tanzania),"17,544","17,729"
Jubilee Investments Company Of Burundi,"39,047","63,351"
Jubilee Investment Company Limited (Uganda),"94,243","137,294"
Total,"150,834","220,449"
Net owing,"778,685","25,458"
