Company,"Investment at
Cost","Investment at
Cost",Equity Held,Equity Held
,2023,2022,2023,2022
,Kes'000,Kes'000,%,%
The Jubilee Life Insurance Limited,"150,000","150,000",100%,100%
Jubilee Health Insurance Limited,"2,763,720","2,763,720",100%,100%
Jubilee Life Insurance Corporation of Tanzania Limited,"36,456","36,456",51%,51%
Jubilee Health Insurance Company of Tanzania Limited,"36,455","36,455",51%,51%
The Jubilee Life Insurance Company of Uganda Limited,"12,598","12,598",30%,30%
The Jubilee Health Insurance Company of Uganda Limited,"12,598","12,598",30%,30%
Jubilee Investment Company Limited (Uganda),"348,209","348,209",100%,100%
Jubilee Investment Company Limited (Tanzania),"23,981","23,981",100%,100%
Jubilee Investment Company Limited (Burundi),"1,311","1,311",100%,100%
JHL Properties Limited,"1,200,000","1,200,000",100%,100%
Total,"4,585,328","4,585,328",,
