Column,Column,2023,2022
,Note,Kes '000,Kes '000
ASSETS,,,
"Property, plant and equipment",15 (i),"54,890","10,630"
Right of use asset,37 (i),"34,906","52,359"
Intangible assets,15 (ii),"1,433","1,898"
Investment in subsidiaries,17 (ii),"4,585,328","4,585,328"
Investment in associates,17,"3,301,721","3,301,721"
Deferred tax asset,18 (iii),"40,325","26,180"
Unquoted equity investments,19,"109,025","92,377"
Quoted equity investments,23,"580,889","324,457"
Government Securities,20 (i),"3,914,809","4,905,233"
Loan receivable at fair value through profit or loss,21,"1,325,609","1,116,482"
Other receivables,24,"551,292","1,605,973"
Current income tax asset,18 (ii),"77,396","93,001"
Due from related parties,36,"929,519","245,907"
Deposits with financial institutions,25 (i),"809,369","440,856"
Cash and Bank balances,25 (ii),"429,378","189,907"
Total assets,,"16,745,889","16,992,309"
LIABILITIES,,,
Lease Liability,37 (ii),"45,516","63,096"
Dividend payables,34 (ii),"501,690","492,038"
Due to related parties,36,"150,834","220,449"
Other payables,26,"206,620","412,721"
Total liabilities,,"904,660","1,188,304"
EQUITY,,,
Share Capital,31,"362,365","362,365"
Retained earnings,33,"15,617,614","14,767,669"
Reserves,32,"(138,750)","(123,232)"
Proposed dividends,34 (i),-,"797,203"
Total equity,,"15,841,229","15,804,005"
Total liabilities and equity,,"16,745,889","16,992,309"
