Unaudited Consolidated Statement of Financial Position as at 30th June 2018:,Column,Column,Column,Column,Column,Column
,,Jun-18,,Jun-17,,Dec-17
,,KShs'000,,KShs'000,,KShs'000
,,,,,,Audited
CAPITAL AND RESERVES,,,,,,
Share capital,,"362,365",,"329,423",,"362,365"
Fair value reserves,,"328,296",,"237,266",,"337,751"
General reserves,,"70,000",,"70,000",,"70,000"
Contingency reserves,,"1,055,785",,"991,904",,"1,050,993"
Translation reserves,,"(1,148,965)",,"(424,822)",,"(546,820)"
Statutory Reserve,,"2,641,109",,"3,047,003",,"2,185,073"
Retained earnings,,"21,130,169",,"17,968,598",,"19,512,980"
Proposed dividends,,"72,473",,"72,473",,"579,784"
Equity attributable to owners of the company,,"24,511,232",,"22,291,845",,"23,552,126"
Non-controlling interest,,"1,703,970",,"1,677,206",,"1,678,524"
Total equity,,"26,215,202",,"23,969,051",,"25,230,650"
ASSETS,,,,,,
Intangible asset,,"135,055",,"115,682",,"158,341"
Property and equipment,,"343,873",,"245,373",,"281,187"
Investment properties,,"6,221,454",,"6,047,348",,"6,270,940"
Investment in associates,,"9,819,501",,"9,843,687",,"9,579,327"
Deferred income tax asset,,"192,051",,"238,761",,"191,273"
Unquoted equity investments at fair value through profit or loss,,"3,157,632",,"2,772,007",,"3,157,632"
Unquoted equity investments at fair value through other comprehensive,"347,455","347,455","104,707","104,707","200,371","200,371"
income,,,,,,
Quoted equity investments at fair value through profit or loss,,"7,905,556",,"5,950,869",,"6,853,603"
Quoted equity investments at fair value through other comprehensive income,,"240,548",,"1,149,486",,"1,276,692"
Mortgage loans,,"60,021",,"109,100",,"109,098"
Loans on life insurance policies,,"833,267",,"738,374",,"788,958"
Government securities,,"54,944,239",,"43,236,596",,"47,195,222"
Commercial bonds,,"893,952",,"1,431,256",,"904,007"
Receivables arising out of direct insurance arrangements,,"5,058,876",,"5,915,317",,"4,204,795"
Receivables arising out of reinsurance arrangements,,"2,508,049",,"2,301,075",,"3,071,800"
Reinsurers’ share of insurance contract liabilities,,"7,657,833",,"8,423,335",,"7,250,563"
Deferred acquisition costs,,"216,510",,"479,481",,"147,132"
Other receivables,,"2,435,862",,"1,842,592",,"1,080,642"
Current income tax recoverable,,"133,242",,"290,787",,"142,478"
Deposits with financial institutions,,"7,160,035",,"8,622,680",,"10,585,597"
Cash and bank balances,,"2,764,611",,"1,249,899",,"1,517,872"
Total assets,,"113,029,622",,"101,108,412",,"104,967,530"
LIABILITIES,,,,,,
Deferred income tax liability,,"152,243",,"84,548",,"199,550"
Insurance contract liabilities,,"24,962,527",,"23,396,742",,"24,983,504"
Payable under deposit administration contracts,,"46,161,548",,"38,034,072",,"42,214,336"
Unearned premium reserve,,"9,285,575",,"9,989,983",,"7,571,212"
Creditors arising out of direct insurance arrangements,,"143,753",,"412,970",,"2,006,921"
Creditors arising out of reinsurance arrangements,,"1,228,614",,"1,812,725",,"325,730"
Other payables,,"3,844,632",,"2,423,877",,"1,995,468"
Dividends payable,,"940,647",,"790,981",,"369,176"
Current income tax payable,,"94,881",,"193,463",,"70,983"
Total liabilities,,"86,814,420",,"77,139,361",,"79,736,880"
Net assets,,"26,215,202",,"23,969,051",,"25,230,650"
