Year,Students sponsored,Education Programs funded by JCF,Update
2014,1,Samaritan Awards,Out of school due to diabetes complications
2018,25,Live Free,3 -In Secondary School
,,,9- In University & Tertiary Institutions
,,,7- Transitioning to College & university in 2025
,,,3 - relocated from the country (Sudanese Origin)
,,,3- unreachable
2020,9,Media,7- In Various universities
,,,2- In college
2021,31,Jubilee staff nominations,Transitioning to University & colleges in 2025
2022,30,Jubilee staff nominations,All in Secondary School
2023,83,Jubilee staff nominations,All in Secondary School
2024,30,Jubilee staff nominations,All in Secondary School
Total,211,,
