Column,Group,Column,Company,Column
Maximum exposure to credit risk before collateral held,2010,2009,2010,2009
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
Receivables arising out of reinsurance arrangements,"889,477","683,526",-,-
Receivables arising out of direct insurance arrangements,"835,299","1,033,698",-,-
Reinsurers’ share of insurance liabilities,"2,633,592","1,687,819",-,-
Government securities at armortised cost,"6,344,018","4,232,441",-,-
Commercial bond,"1,111,380","305,243",-,-
Cash and bank balances,"575,252","236,816","5,208","17,442"
Loans on life insurance policies,"213,994","196,324",-,-
Mortgage loans,"40,161","51,236",-,-
Deposits with financial institutions,"3,312,606","3,247,958","45,050","5,804"
Other receivables,"387,772","452,016",9,9
Totals,"16,343,551","12,127,077","50,267","23,255"
