Column,Kenya uS Dollar,uganda Shillings,Tanzania Shillings,Mauritius Rupees,Burundi Francs,Total
"As at 31st December, 2009:",Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
ASSETS,,,,,,
"Receivables arising out of
reinsurance arrangements",-,"178,774","70,818",-,-,"249,592"
Deferred acquisition costs,-,"(51,176)",-,-,-,"(51,176)"
Deposit with financial institutions,"188,364","313,167","391,273","20,873",-,"913,677"
Cash and bank balances,-,"54,860","78,832","2,749",-,"136,441"
Total assets,"188,364","495,625","540,923","23,622",-,"1,248,534"
LIABILITIES,,,,,,
Provision for unearned premium,-,"502,020","531,840",-,-,"1,033,860"
Insurance contract liabilities,-,"391,282","670,398","9,156",-,"1,070,836"
"Creditors arising out of
reinsurance arrangements",-,"357,166","99,662",-,-,"456,828"
Total liabilities,-,"1,250,468","1,301,900","9,156",-,"2,561,524"
Net Balance sheet position,"188,364","(754,843)","(760,977)","14,466",-,"(1,312,990)"
