"Consolidated Statements of Profit or Loss and other compre-
hensive income","For the year ended
31 December 2023
As previously stated",Adjustments,"For the year
ended 31 De-
cember 2023
Restated"
,KShs ‘000,KShs ‘000,KShs ‘000
Income,,,
Insurance revenue,"22,777,897","**(165,044)","22,612,853"
Insurance service expense,"(21,825,894)","**71,867","(21,754,027)"
Insurance service result from insurance contracts issued,"952,003","(93,177)","858,826"
Allocation of reinsurance premiums paid,"(1,782,865)","**130,235","(1,652,630)"
Amounts recovered from reinsurance contracts,"1,507,280","**(130,236)","1,377,044"
Net expense from reinsurance contracts held,"(275,585)",(1),"(275,586)"
Insurance service result,"676,418","(93,178)","583,240"
Interest revenue from financial assets not measured at FVTPL,"14,035,911","*(1,994,571)","12,041,340"
Net losses on FVTPL investments,"(1,807,415)","*246,460","(1,560,955)"
Net gains from fair value adjustments to investment properties,"107,784","****(96,137)","11,647"
Investment income,"822,099","****(54,296)","767,803"
Gain on disposal of investments at FVTPL,"293,223","*5,986","299,209"
Foreign exchange gain,"828,385","*****274,786","1,103,171"
Allowance for expected credit losses,"(4,290)","***4,290",-
Net investment income,"14,275,697","(1,613,482)","12,662,215"
Finance expenses from insurance contracts issued,"(11,053,104)",-,"(11,053,104)"
