Column,Unaudited Consolidated Statement of Profit or Loss and Other Comprehensive Income,Column,Column,Column,Column,Column,Column
,For the six months ended 30th June 2018:,,,,,,
,,,Jun-18,,Jun-17,,Dec-17
,,,KShs'000,,KShs'000,,KShs'000
,,,,,,,Audited
,Gross earned premium,,"14,191,236",,"15,600,726",,"28,328,848"
,Outward reinsurance,,"(5,311,719)",,"(5,408,010)",,"(9,134,984)"
,Net earned premium,,"8,879,517",,"10,192,716",,"19,193,864"
,Claims and policy holder's benefits payable,,"(9,840,372)",,"(10,381,180)",,"(19,653,897)"
,Commission paid,,"(1,705,678)",,"(1,736,179)",,"(3,400,893)"
,Commission earned,,"1,002,245",,"1,068,387",,"1,803,453"
,Management expenses,,"(2,114,244)",,"(2,076,358)",,"(4,240,091)"
,Net fair value gain through profit or loss,,"1,425,777",,"1,297,633",,"2,700,471"
,Investment Income,,"4,303,896",,"3,396,164",,"7,575,360"
,Operating profit,,"1,951,141",,"1,761,183",,"3,978,267"
,Share of results of associates,,"470,596",,"578,772",,"1,182,702"
,Group profit before income tax,,"2,421,737",,"2,339,955",,"5,160,969"
,Income tax expense,,"(562,126)",,"(463,797)",,"(930,660)"
,Net profit,,"1,859,611",,"1,876,158",,"4,230,309"
Other Comprehensive Income,,,,,,,
,Change in fair value of financial assets at fair value through,"(9,913)","(9,913)","131,989","131,989","292,898","292,898"
,other comprehensive income,,,,,,
,Net translation loss/(gain),,"(678,373)",,"170,890",,(468)
,Associate share of other comprehensive income,,-,,-,,"47,219"
,Deferred income tax relating to other comprehensive income,,"2,974",,549,,"(87,589)"
,Total other comprehensive income,,"(685,312)",,"303,428",,"252,060"
,Total comprehensive income,,"1,174,299",,"2,179,586",,"4,482,369"
,Non-controlling interest,,"91,443",,"201,417",,"309,706"
,Profit attributable to shareholders,,"1,082,856",,"1,978,169",,"4,172,663"
,Earnings per share (KShs)-basic and diluted,,23.38,,23.68,,54.26
,Dividends:,,,,,,
,Dividend proposed,,"72,473",,"72,473",,"579,784"
