Year ended 31 December 2023,Column,Column,Column,Column,Column
Cost/valuation,,,,,
At start of year,"1,475,000","409,980","55,475","384,126","2,324,581"
Additions,"348,747","202,001","16,407","175,202","742,357"
Gain on revaluation,"176,253",-,-,-,"176,253"
Disposals,-,-,-,-,-
Exchange differences,-,"(29,313)","2,341","24,751","(2,221)"
At end of year,"2,000,000","582,668","74,222","584,080","3,240,970"
Accumulated depreciation,,,,,
At start of year,-,"330,406","33,885","284,433","648,724"
Charge for the year,-,"49,024","10,824","25,133","84,981"
Disposals,-,-,-,-,-
Exchange differences,-,"(7,483)","(2,363)","21,763","11,917"
At end of year,-,"371,947","42,346","331,329","741,622"
Net book value,"2,000,000","210,721","31,876","256,751","2,499,348"
