2024,Liability for remaining coverage,Column,Column,Column
,"Excluding loss
component",Loss component,"Liability for in-
curred claims",Total
,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
Opening assets,"9,581",-,-,"9,581"
Opening liabilities,"813,668","189,911","42,094","1,045,673"
Net opening balance,"(804,087)","(189,911)","(42,094)","(1,036,092)"
Changes in the statement of profit or loss,,,,
Insurance revenue,,,,
Contracts under the modified retrospective approach,"(236,779)","(9,046)",-,"(245,825)"
Contracts under the fair value approach,-,-,-,-
Other contracts,"(255,139)",-,-,"(255,139)"
Insurance revenue,"(491,918)","(9,046)",-,"(500,964)"
Insurance service expenses,,,,
Incurred claims and other insurance service expenses,-,"(69,245)","384,302","315,057"
Other directly attributable expenses,-,-,"(41,178)","(41,178)"
