Exchange Risk,US Dollar,"Uganda
Shillings","Tanzania
Shillings","Burundi
Francs"
As at 31 December 2023:,Kes’000,Kes’000,Kes’000,Kes’000
Subsidiaries,,,,
Jubilee Uganda,-,"27,633,907",-,-
Jubilee Tanzania,-,-,"5,879,121",-
Jubilee Burundi,-,-,-,"1,310,811"
Associates,-,-,-,-
Bujagali Holdings Power Company Limited,"11,565,106",-,-,-
IPS Cable Systems Limited,"4,582,313",-,-,-
Jubilee Allianz General (U) Insurance Company Limited,-,"1,018,148",-,-
Jubilee Allianz Insurance Company Tanzania,-,-,"186,814",-
Jubilee Allianz Insurance Company Burundi,,,,"66,116"
Group gross foreign currency exposure,"16,147,419","28,268,985","6,065,935","1,376,927"
Non-controlling interest foreign currency exposure,-,"153,410","(26,040)","(10,128)"
Net foreign currency exposure,"16,147,419","28,422,395","6,039,895","1,366,799"
Exchange Rates,,,,
Closing rate at 31 December 2023,156.4618,24.1915,16.0744,18.2065
Average rate during the year 2023,139.9177,26.8290,17.3807,17.4750
