Column,Column,2010,2009
,Note,Kshs ‘000,Kshs ‘000
CAPITAL AND RESERVES,,,
Share capital,12,"247,500","225,000"
Fair value reserves,,"(6,077)","2,028"
General reserves,13 (b),"70,000","70,000"
Retained earnings,,"1,673,245","1,569,976"
Proposed dividends,14,"222,750","157,500"
Total equity,,"2,207,418","2,024,504"
ASSETS,,,
Investment properties,16,-,"760,000"
Investment in associates,17 (i),"1,076,153","919,124"
Investment in subsidiaries,17 (ii),"1,762,527","721,380"
Quoted shares at fair value through other comprehensive income,18,"16,329","402,568"
Unquoted shares at fair value through other comprehensive income,19,"6,081","6,081"
Deposits with financial institutions,,"45,050","5,805"
Other receivables,24,9,9
Current income tax,,"11,676","20,308"
Cash and bank balances,26,"5,208","17,449"
Total assets,,"2,923,033","2,852,724"
LIABILITIES,,,
Deferred income tax,25,"12,237","122,683"
Trade and other payables,31,"4,878","5,388"
Due to related parties,34,"583,104","596,532"
Dividends payable,,"115,396","103,610"
Bank overdraft,32,-,7
Total liabilities,,"715,615","828,220"
Net assets,,"2,207,418","2,024,504"
