Technical Course Done,Training Institute/Facility,Number of Staff Trained
Advanced Case management training,Seven Springs Hub,5
Actuarial Science,Institute and Faculty of Actuaries,9
CaseWare IDEA Advanced Level,KPMG,6
Chartered Insurance Institute Papers,Chartered Insurance Institute,1
Certified Marketing (CIM) qualification,Chartered institute of marketing,1
Certified Marketing (CIM) qualification,Simon Page College of Marketing Limited,1
Certificate of Proficiency,College of Insurance,1
Diploma in Insurance,College of Insurance,16
Digital Super Selling training for Sales Agents,AKI,13
Financial Reporting Advanced Course,ICPAK,2
IFRS Annual Update Training 2024,PWC,2
IFRS Master Class,ICPAK,1
LOMA,Life Office Management Association,1
Risk Management Programme,Insurance Institute of Kenya,4
Project Management Professional,Project Management Institute,6
Certified SOA Professional,Institute and Faculty of Actuaries,1
SRM,Society of Actuaries,1
Supervisors/Middle Managers Training,AKI,15
Trainer of Trainers,College of Human Resources Management,3
Data Science,Moringa School,1
ITIL4 Foundation certification,Harmony Solutions Limited,1
Professional in Human Resources - International (PHRi),College of Human Resource Management,1
ISK Training,Institute of Surveyors of Kenya,1
Total Number of Employees Sponsored in 2024,,93
Total Number of Employees Sponsored In 2023,,52
