Chairman (Ugandan),M J Aliker,Mwenyekiti (Muganda)
Chief Executive/ Managing (Kenyan),L W Gitahi,"Mrasimu mkuu/Msimamizi
(Mkenya)"
Appointed 26 March 2009 (Kenyan),D Aluanga,(Mkenya) Aliteuliwa 26 Machi 2009
Resigned 29 May 2008 (Kenyan),A Bekah,(Mkenya) Alijiuzulu 29 Mei 2008
(Kenyan),S Gitagama,(Mkenya)
(American),L Huebner,(Muamerikani)
(Kenyan),W D Kiboro,(Mkenya)
(British),J Lee,(Mwingereza)
(Tanzanian),A Mufuruki,(Mtanzania)
(Kenyan),F O Okello,(Mkenya)
(French),A Poonawala,(Mfaransa)
Resigned 18 September 2008 (British),V Unwin,"(Mwingereza) Alijiuzulu
18 Septemba 2008"
(Irish),G M Wilkinson,(Mua-Irish)
Secretary,J C Kinyua,Katibu
Registered Office,"Nation Centre
Kimathi Street
P O Box 49010 00100
Nairobi",Afisi ilikoandikishwa
Advocates,"Kaplan & Stratton
George Williamson House
4th Ngong Avenue
Nairobi",Wakili
Auditors,"PricewaterhouseCoopers
The Rahimtulla Tower
Upper Hill Road
Nairobi",Wakaguzi wa Hesabu
Bankers,"Standard Chartered Bank of Kenya Limited
Stanbank House
Moi Avenue
Nairobi",Benki
