Name,Award Category,Position
Larry Ngala,Lifetime Contribution in Journalism Award,Lifetime Award
Pamella Sittoni,Lifetime Contribution in Journalism Award,Lifetime Award
Adrams Midira Mulama,Best Investigative Story - Cameraman,Winner
Angela Oketch,Gender Reporting,Winner
Elvis Ondieki,Development and Public Affairs Reporting,Winner
Ibrahim Karanja,Best Investigative Story,Winner
Igah S Muigai,Cartoonist of the Year,Winner
Levi Ojiambo Wafula,Best Investigative Story - Graphics,Winner
Lilys Njeru,Sports Reporting,Winner
Lionel Lidigu,Health Reporting,Winner
Pamella Sittoni,Women in Media and Communications,Winner
Pauline Njeri Wakaba,Best Investigative Story - Video Editing,Winner
Patrick Alushula,Best Investigative Story,Winner
Fredrick Muitiriri,Development and Public Affairs Reporting,Winner
Cece Siago,Africa Climate Change and Environment Reporting Award,Winner
Brygettes Ngana,Agriculture & Food Security,1st Runner’s Up
,Health Reporting,1st Runner’s Up
Sam Doe Ouko,Agriculture & Food Security,1st Runner’s Up
,Health Reporting,1st Runner’s Up
Dorcas Muga,Women in Media and Communications,1st Runner’s Up
Dudley Gaciku,Gender Reporting,1st Runner’s Up
Elvis Ondieki,ICT & Innovation Reporting,1st Runner’s Up
Hellen Shikanda,Environment and Climate Change Reporting,1st Runner’s Up
,Health Reporting,1st Runner’s Up
Lionel Lidigu,Best Investigative Story,1st Runner’s Up
Slylvia Muia,Digital Economy and Business Reporting,1st Runner’s Up
Moraa Obiria,Development and Public Affairs Reporting,1st Runner’s Up
,"Podcast of the Year, Digital",1st Runner’s Up
,UN Women Eastern and Southern Africa Gender Journalism Awards,1st Runner’s Up
Agatha Gichana,Gender Reporting,2nd Runner’s Up
Amina Wako,ICT & Innovation Reporting,2nd Runner’s Up
Fatuma Bugu,Health Reporting,2nd Runner’s Up
Hellen Shikanda,Development and Public Affairs Reporting,2nd Runner’s Up
Jacob Ochieng,Agriculture & Food Security,2nd Runner’s Up
Jane Ngige,Sports Reporting,2nd Runner’s Up
Jane Gatwiri Mbuba,Sports Reporting,2nd Runner’s Up
Lionel Lidigu,ICT & Innovation Reporting,2nd Runner’s Up
Mercy Chelangat,Health Reporting,2nd Runner’s Up
Moraa Obiria,Gender Reporting,2nd Runner’s Up
Peter Mburu,Digital Economy and Business Reporting,2nd Runner’s Up
Sidney Chazima,Development and Public Affairs Reporting,2nd Runner’s Up
