"2015
Shs m","2014
Shs m","2015
Shs m","2014
Shs m"
471.4,471.4,471.4,471.4
(56.4),63.3,124.7,127.9
"7,076.2","6,765.4","5,821.0","5,485.0"
"1,414.1","1,414.1","1,414.1","1,414.1"
"8,905.3","8,714.2","7,831.2","7,498.4"
48.4,53.9,-,-
"8,953.7","8,768.1","7,831.2","7,498.4"
-,41.0,-,-
151.9,16.9,136.6,-
151.9,57.9,136.6,-
"9,105.6","8,826.0","7,967.8","7,498.4"
"3,479.2","2,589.4","2,803.2","1,873.6"
305.6,306.5,99.2,88.0
76.1,80.5,45.8,46.6
"1,115.4","1,034.6",94.6,94.6
-,-,"1,131.4","1,131.4"
93.1,295.6,-,238.2
102.4,262.7,102.4,262.7
"5,171.8","4,569.3","4,276.6","3,735.1"
893.8,944.5,538.7,711.6
"2,938.5","2,853.9","2,566.6","2,457.1"
"3,063.3","3,451.7","2,792.0","3,087.5"
629.3,124.9,577.7,46.7
"7,524.9","7,375.0","6,475.0","6,302.9"
"3,286.2","2,885.7","2,517.0","2,334.5"
266.8,205.1,266.8,205.1
38.1,27.5,-,-
"3,591.1","3,118.3","2,783.8","2,539.6"
"3,933.8","4,256.7","3,691.2","3,763.3"
"9,105.6","8,826.0","7,967.8","7,498.4"
