Condensed consolidated statement of profit or loss and other comprehensive income for the year ended 30 June,Column,Column,Column,Column
,,,2023,2022 Restated
,,,Kshs '000,Kshs '000
Revenue,,,"1,071,031","1,473,485"
Cost of sales,,,"(881,120)","(1,016,078)"
Gross profit,,,"189,911","457,407"
Operating expenses net of other income,,,"(637,846)","(426,946)"
Finance costs,,,"(182,182)","(133,339)"
Loss before tax,,,"(630,117)","(102,878)"
Income tax expense,,,"58,786","18,377"
Loss after tax,,,"(571,331)","(84,501)"
Other comprehensive (loss)/ income,,,"(1,511)","2,032"
Total comprehensive loss,,,"(572,842)","(82,469)"
Condensed consolidated statement of financial position as at 30 June,,,,
,,2023,2022 Restated,2021 Restated
,,Kshs '000,Kshs '000,Kshs '000
Pre-publishing costs,,"963,478","861,924","802,370"
Trade and other receivables,,"265,196","464,064","787,083"
Contract assets,,"413,141","332,005","623,887"
Inventories,,"734,975","564,366","466,740"
Cash and bank balances,,"83,075","160,414","54,018"
Other assets,,"327,927","409,262","392,943"
TOTAL ASSETS,,"2,787,792","2,792,035","3,127,041"
Borrowings,,"1,234,827","979,999","1,194,154"
Trade and other payables,,"1,263,185","949,414","987,796"
Total liabilities,,"2,498,012","1,929,413","2,181,950"
Total equity,,"289,780","862,622","945,091"
TOTAL EQUITY AND LIABILITIES,,"2,787,792","2,792,035","3,127,041"
Condensed consolidated statement of changes in equity for the year ended 30 June,,,,
,"Share
capital
& premium","Retained
earnings/
(accumulated
losses) &
translation
reserve","Non-controlling
interest",Total
,Kshs '000,Kshs '000,Kshs '000,Kshs '000
Year ended 30 June 2022,,,,
Balance at 1 July 2021 – as previously reported,"640,729","100,581",(389),"740,921"
Prior year adjustment (net of tax),-,"204,170",-,"204,170"
Restated total equity as start of year,"640,729","304,751",(389),"945,091"
Total comprehensive loss for the year (restated),-,"(82,334)",(135),"(82,469)"
Balance at 30 June 2022 (restated),"640,729","222,417",(524),"862,622"
Year ended 30 June 2023,,,,
Restated total equity as start of year,"6 40,729","222,417",(524),"862,622"
Total comprehensive loss,-,"(571,622)","(1,220)","(572,842)"
Balance at 30 June 2023,"640,729","(349,205)","(1,744)","289,780"
Condensed consolidated statement of cashflows for the year ended 30 June,,,,
,,,2023,2022 Restated
,,,Kshs '000,Kshs '000
Net cash generated from operating activities,,,"21,490","557,793"
Net cash used in investing activities,,,"(190,421)","(110,727)"
Net cash generated from/ (used in) financing activities,,,"83,304","(330,342)"
Net increase in cash and cash equivalents,,,"(85,627)","116,724"
Cash and cash equivalents at start of year,,,"160,414","36,866"
Translation differences on cash and cash equivalents,,,"(6,054)","6,824"
Cash and cash equivalents at end of year,,,"68,733","160,414"
