Director,Nationality,Title,"Date of
appointment"
Hon Francis T Nyammo,Kenyan,Non-Executive,01/07/1977
Centum Investment Company Plc,Body Corporate,-,22/02/2008
Mr Raymond Nyamweya,Kenyan,Non-Executive,01/04/2004
Mrs Susan Omanga,Kenyan,Independent Non-executive,15/11/2010
Mr Ali Hussein Hussein,Kenyan,Independent Non-executive,01/03/2014
Mrs Truphosa Kwaka-Sumba,Kenyan,Independent Non-executive,01/12/2014
Mr Muigai Githu,Kenyan,Non-Executive,20/08/2015
Mr Fredrick Murimi,Kenyan,Non-Executive,21/04/2017
Mr Samuel Kariuki,Kenyan,Non-Executive,29/05/2018
Mr Simon Ngigi*,Kenyan,Executive – Outgoing Group Managing Director,11/05/2015
Mr Maxwell Wahome**,Kenyan,Executive – Incoming Group Managing Director,04/09/2018
