"Land and
buildings","Motor
vehicles","Furniture and
equipment",Total
Shs’000,Shs’000,Shs’000,Shs’000
"155,496","59,917","50,824","266,237"
"(24,846)","(19,412)","(38,637)","(82,895)"
"130,650","40,505","12,187","183,342"
"130,650","40,505","12,187","183,342"
-,-,"1,800","1,800"
-,"(11,300)",(491),"(11,791)"
"(3,904)","(10,520)","(4,793)","(19,217)"
-,"4,095",223,"4,318"
"126,746","22,780","8,926","158,452"
"155,496","48,617","52,133","256,246"
"(28,750)","(25,837)","(43,207)","(97,794)"
"126,746","22,780","8,926","158,452"
"126,746","22,780","8,926","158,452"
-,-,"12,047","12,047"
-,"(27,655)",(905),"(28,560)"
"(3,902)","(7,271)","(3,969)","(15,142)"
-,"16,497",641,"17,138"
"122,844","4,351","16,740","143,935"
"155,496","20,962","63,275","239,733"
"(32,652)","(16,611)","(46,535)","(95,798)"
"122,844","4,351","16,740","143,935"
