Notes,"2018
Shs’000","2017
Shs’000"
12(a),"207,490","220,949"
13(a),"4,805","7,877"
13(b),"403,705","243,652"
15,"125,786","125,786"
16,"11,914","9,595"
,"753,700","607,859"
17,"440,697","445,525"
18,"793,652","784,819"
19,"419,480","20,531"
,"1,653,829","1,250,875"
,"2,407,529","1,858,734"
20,"272,440","272,440"
,"368,289","368,289"
,"443,673","339,650"
,"(45,107)","(34,443)"
,"1,039,295","945,936"
,343,(230)
,"1,039,638","945,706"
21,"722,540","553,196"
,"59,852","16,756"
22,"584,799","334,194"
19,700,"8,882"
,"1,367,891","913,028"
,"2,407,529","1,858,734"
