"Condensed consolidated statement of profit or loss and other
comprehensive income for the six-month period ended:",Column,Column,Column,Condensed consolidated statement of financial position as at,Column,Column,Column,Column
,31-Dec-2022,31-Dec-2021,31-Dec-2020,,,,31-Dec-2022,30-Jun-2022
,Kshs '000,Kshs '000,Kshs '000,,,,Kshs '000,Kshs '000
Revenue and other income,"516,913","960,969","288,515",Pre-Publishing costs,,,"948,487","861,924"
Cost of sales,"(309,546)","(628,247)","(197,295)",Property and Equipment,,,"183,444","187,802"
Gross profit,"207,367","332,722","91,220",Goodwill,,,"125,786","125,786"
Operating expenses,"(237,245)","(236,150)","(143,394)",Trade and other receivables,,,"490,510","487,184"
Finance costs,"(68,437)","(64,619)","(93,158)",Inventories,,,"743,934","748,697"
(Loss)/Profit before tax,"(98,315)","31,953","(145,332)",Cash and bank balances,,,"15,659","160,414"
Income tax expense,-,"(16,862)",-,Other assets,,,"108,404","113,360"
(Loss)/Profit after tax,"(98,315)","15,091","(145,332)",TOTAL ASSETS,,,"2,616,224","2,685,167"
Other comprehensive income,-,-,-,,,,,
Total comprehensive (loss)/income,"(98,315)","15,091","(145,332)",Borrowings,,,"1,059,130","979,999"
,,,,Trade and other payables,,,"872,538","922,297"
,,,,Total liabilities,,,"1,931,668","1,902,296"
,,,,Total equity,,,"684,556","782,871"
,,,,TOTAL EQUITY AND LIABILITIES,,,"2,616,224","2,685,167"
"Condensed consolidated statement of cashflows
for the six-month period ended:",,,,"Condensed consolidated statement of changes in equity
for the six-month period ended:",,,,
,,31-Dec-2022,31-Dec-2021,,"Share
capital &
premium","Retained
earnings","Non-
controlling
interest",Total
,,Kshs '000,Kshs '000,,Kshs '000,Kshs '000,Kshs '000,Kshs '000
"Net cash (used in)/generated from
operating activities",,"(46,741)","301,198",At 1 July 2021,"640,729","100,581",(389),"740,921"
Net cash used in investing activities,,"(89,556)","(20,997)",Total comprehensive income,-,"42,085",(135),"41,950"
Net cash used in financing activities,,"(8,458)","(268,687)",,,,,
"Net (decrease)/increase in cash
and cash equivalents",,"(144,755)","11,514",At 30 June 2022,"640,729","142,666",(524),"782,871"
"Cash and cash equivalents at start of
the period",,"160,414","36,866",Total comprehensive loss,-,"(98,315)",-,"(98,315)"
"Cash and cash equivalents at end of
the period",,"15,659","48,380",At 31 December 2022,"640,729","44,351",(524),"684,556"
