Condensed consolidated statement of cashflows,Column,Column
for the year ended 30 June,,
,2022,2021
,Kshs ‘000,Kshs ‘000
Cash generated from operations,"566,361","225,682"
Income tax paid,"(1,276)",(332)
Net cash generated from operating activities,"565,085","225,350"
Net cash used in investing activities,"(111,196)","(102,021)"
Net cash used in financing activities,"(330,342)","(202,232)"
Net increase in cash and cash equivalents,"123,548","(78,903)"
Cash and cash equivalents at start of year,"36,866","115,769"
Cash and cash equivalents at end of year,"160,414","36,866"
