For the year ended 30 June 2025,Salary,Fees,Total,Paid,Unpaid
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
Prof. Githu Muigai,-,702,702,702,-
Hon. Francis T. Nyammo,-,"1,177","1,177","1,177",-
Maxwell Wahome*,"18,480",-,"18,480","18,480",-
Muigai Githu,-,416,416,416,-
Emma Miloyo,-,"1,150","1,150","1,150",-
Ali Hussein Kassim,-,878,878,878,-
Dr Dancan Njagi,-,"1,150","1,150","1,150",-
Dr Silvian Gitau,-,"1,014","1,014","1,014",-
Makenna Nyammo,-,377,377,377,-
Centum Investment Plc**,-,"2,347","2,347",-,"2,347"
,"18,480","9,211","27,691","25,344","2,347"
