Column,"Salary
Shs 000","Fees
Shs 000","Bonuses
Shs 000",Column,"Expense
allowances
Shs 000","Estimated
value for
non cash
benefits
Shs 000","Total
Shs 000"
"For the year ended 30 June
2017",,,,,,,
Hon. F. T. Nyammo,-,"1,365",,-,"1,800",-,"3,165"
Simon Ngigi,"15,600",-,"1,200",,-,48,"16,848"
Muigai Githu,-,609,-,,-,-,609
Raymond Nyamweya,-,967,-,,-,-,967
Susan N. Omanga,-,624,-,,-,-,624
Ali Hussein Kassim,-,981,-,,-,-,981
Sara Ruto,-,333,-,,-,-,333
Truphosa Kwaka (Mrs),-,781,-,,-,-,781
Centum Investment Plc,-,"1,049",-,,-,-,"1,049"
,"15,600","6,709","1,2",00,"1,800",48,"25,357"
"For the year ended 30 June
2018",,,,,,,
Hon. F. T. Nyammo,-,"1,520",-,,595,-,"2,115"
Simon Ngigi,"14,955",-,"1,926",,-,578,"17,459"
Muigai Githu,-,690,,-,-,-,690
Raymond Nyamweya,-,766,,-,-,-,766
Susan N. Omanga (Mrs),-,589,-,,-,-,589
Ali Hussein Kassim,-,801,-,,-,-,801
Truphosa Kwaka (Mrs),-,725,-,,-,-,725
Centum Investment Plc,-,"1,658",-,,-,-,"1,658"
,"14,955","6,749","1,926",,595,578,"24,803"
