Year ended 31 December 2024,Column,Column,Column,Column,Column
Opening net book amount,"5,390,052","3,726,987","504,003","1,920,788","11,541,830"
Additions,,,,,
Purchases,"43,390","114,332","50,030","114,263","322,015"
ROU Additions,-,"96,056","7,142",-,"103,198"
Impairment,-,"(159,686)",-,"(51,385)","(211,071)"
Depreciation charge,"(121,079)","(405,186)","(177,475)",-,"(703,740)"
Transfers,"233,984","211,892","58,549","(504,425)",-
Disposals,,,,,
Cost,"(4,640)","(1,524)","(36,261)","(1,011,836)","(1,054,261)"
Accumulated depreciation,"1,841","1,254","36,261",-,"39,356"
Transfers to assets held for sale,-,-,-,"(225,343)","(225,343)"
Closing net book amount,"5,543,548","3,584,125","442,249","242,062","9,811,984"
At 31 December 2024,,,,,
Cost or valuation,"7,224,466","10,538,192","1,811,099","293,445","19,867,202"
Accumulated depreciation,"(1,680,918)","(6,954,067)","(1,368,850)","(51,383)","(10,055,218)"
Net book amount,"5,543,548","3,584,125","442,249","242,062","9,811,984"
