Column,"Land and
Buildings","Plant and
Machinery","Vehicles and
Equipment","Construction
in Progress*",Total
,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000
Year ended 31 December 2024,,,,,
Opening net book amount,"5,380,270","3,727,035","504,005","382,404","9,993,714"
Additions,,,,,
Purchases,"43,390","114,332","50,030","383,494","591,246"
ROU Additions,-,"96,056","7,142",-,"103,198"
Impairment,-,"(159,686)",-,"(7,150)","(166,836)"
Depreciation charge,"(119,383)","(405,186)","(177,475)",-,"(702,044)"
Transfers,"233,984","211,892","58,549","(504,425)",-
Disposals,,,,,
Cost,-,"(1,524)","(36,261)","(12,260)","(50,045)"
Accumulated depreciation,-,"1,254","36,261",-,"37,515"
Closing net book amount,"5,538,261","3,584,173","442,251","242,063","9,806,748"
At 31 December 2024,,,,,
Cost or valuation,"7,215,776","10,539,271","1,829,204","249,213","19,833,464"
Accumulated depreciation,"(1,677,515)","(6,955,098)","(1,386,953)","(7,150)","(10,026,716)"
Net book amount,"5,538,261","3,584,173","442,251","242,063","9,806,748"
