At 31 December 2020,"Less than 1 year
KSh’000","Between 1 & 3 years
KSh’000"
Liabilities,,
Borrowings,"23,414","52,705"
Trade and other payables,"4,572,259",-
Amounts due to related parties,"914,520",-
Derivative financial instruments,"15,519",-
Total financial liabilities,"5,525,712","52,705"
Assets,,
Cash and bank balances,"1,884,392",-
Amounts due from related parties,"2,937,352",-
Trade and other receivables,"1,335,565",-
Derivative financial instruments,"5,043",-
Total financial assets,"6,162,352",-
,"16,176
5,481,215
698,979
4,745",
,"6,201,115",
,"1,811,443
904,489
1,668,578
42,799",
,"4,427,309",
