Non-Executive Directors,Fixed retainer,Column,Sitting allowance,Column,Chairman’s honoraria,Column,Total,Column
,KShs’000,,KShs’000,,KShs’000,,KShs’000,
,2023,2022,2023,2022,2023,2022,2023,2022
Rita Kavashe,"4,407","4,211",363,378,"2,500","2,500","7,270","7,089"
Marion Gathoga-Mwangi,"2,738","2,617",329,284,-,-,"3,067","2,901"
Peter Mwangi,"2,738","2,617",430,315,-,-,"3,168","2,932"
Dr. Martin Oduor-Otieno,"2,738","2,617",298,252,-,-,"3,036","2,869"
Dr. Macharia Irungu,"2,738","2,617",331,221,-,-,"3,069","2,838"
Samuel Onyango,"2,738","2,617",298,284,-,-,"3,036","2,901"
Carol Musyoka,"1,232","2,617",162,347,-,-,"1,394","2,964"
Paul Muthaura,463,-,98,-,-,-,561,-
Phyllis Wakiaga,463,-,64,-,-,-,527,-
Total remuneration,"20,255","19,913","2,373","2,081","2,500","2,500","25,128","24,494"
