At 31 December 2021,"Less than 1 year
KSh’ 000","Between 1 & 3 years
KSh’ 000"
Liabilities,,
Borrowings,"19,007","20,881"
Trade and other payables,"2,110,583",-
Amounts due to related parties,"1,248,902",-
Derivative financial instruments,"32,498",-
Total financial liabilities,"3,410,990","20,881"
Assets,,
Cash and bank balances,"3,028,738",-
Amounts due from related parties,"2,668,584",-
Trade and other receivables,"522,034",-
Derivative financial instruments,"23,136",-
Total financial assets,"6,242,492",-
,"21,471
2,960,866
883,093
15,519",
,"3,880,949",
,"1,884,539
2,937,352
501,577
5,043",
,"5,328,511",
