At 31 December 2021,Less than 1 year,Between 1 & 3 years
,KSh’ 000,KSh’ 000
Liabilities,,
Borrowings,"20,313","20,881"
Trade and other payables,"3,848,114",-
Amounts due to related parties,"1,270,752",-
Derivative financial instruments,"32,498",-
Total financial liabilities,"5,171,677","20,881"
Assets,,
Cash and bank balances,"3,028,755",-
Amounts due from related parties,"2,668,584",-
Trade and other receivables,"1,278,998",-
Derivative financial instruments,"23,136",-
Total financial assets,"6,999,473",-
,"23,414
4,572,259
914,520
15,519",
,"5,525,712",
,"1,884,392
2,937,352
1,335,565
5,043",
,"6,162,352",
