At 31 December 2020,"Less than 1 year
KSh’000","Between 1 & 3 years
KSh’000"
Liabilities,,
Borrowings,"21,471","48,425"
Trade and other payables,"2,960,866",-
Amounts due to related parties,"883,093",-
Derivative financial instruments,"15,519",-
Total financial liabilities,"3,880,949","48,425"
Assets,,
Cash and bank balances,"1,884,539",-
Amounts due from related parties,"2,937,352",-
Trade and other receivables,"501,577",-
Derivative financial instruments,"5,043",-
Total financial assets,"5,328,511",-
,"13,527
3,938,077
606,282
4,745",
,"4,562,631",
,"1,811,443
870,919
591,115
42,799",
,"3,316,276",
