Column,Notes,KShs’000,KShs’000
Revenue from contracts with customers,,"141,346,899","110,161,215"
Indirect taxes and duties,,"(38,544,483)","(35,450,751)"
Net revenue from contracts with customers,3,"102,802,416","74,710,464"
Cost of sales,4,"(93,222,522)","(65,909,440)"
Gross profit,,"9,579,894","8,801,024"
Other income,5,"1,581,647","1,806,300"
Operating expenses,6,"(7,119,539)","(6,518,951)"
Net allowance for expected credit losses,18,"(33,219)","26,989"
Finance income,7 (a),"567,259","216,862"
Finance costs,7 (b),"(919,890)","(283,265)"
Net foreign exchange gain/ (loss),7 (c),"146,842","(56,040)"
Profit before tax,8,"3,802,994","3,992,919"
Tax charge,9 (i),"(1,358,667)","(1,254,011)"
Profit for the year,,"2,444,327","2,738,908"
"Other comprehensive income, net of tax",,-,-
Total comprehensive income for the year,,"2,444,327","2,738,908"
Earnings per share (basic and diluted) (KShs),10,3.88,4.35
