Column,Column,Column,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
Olagoke Aluko,Chairman,Non-executive,-,-,-,-,-,-
Eric Fanchini,Managing Director,Executive,"28,486","5,145",-,-,"22,127","55,758"
Lawrencia Gichatha,Finance Manager,Executive,"18,198","1,888",-,-,99,"20,185"
Adele Tura,"Strategy and Corporate Affairs
Director, appointed on 21
September 2022",Executive,"10,514",735,-,-,-,"11,249"
John Muchunu,"Resigned as Strategy and
Corporate Affairs Director on 21
September 2022",Executive,"17,956",900,-,-,94,"18,950"
Jean- Phillipe Torres,,Non-executive,,,,,,
Joseph Karago,,Non-executive,-,-,"2,000","1,620",-,"3,620"
Margaret W.N. Shava,Resigned on 21 September 2022,Non-executive,-,-,"2,000","1,360",-,"3,360"
Maurice K’Anjejo,,Non-executive,-,-,"2,000","1,100",-,"3,100"
Guillame Navez,Appointed on 21 September 2022,Non-executive,-,-,-,-,-,-
"Paul-Henri Assier de
Pompignan",Resigned on 21 September 2022,Non-executive,-,-,-,-,-,-
Totals,,,"75,154","8,668","6,000","4,080","22,320","116,222"
Summary,,,,,,,,
Cash emoluments,,,"75,154","8,668","6,000","4,080",-,"93,902"
Non-cash emoluments,,,-,-,-,-,"22,320","22,320"
Totals,,,"75,154","8,668","6,000","4,080","22,320","116,222"
