GRI STANDARD,"GRI
DISCLOSURE
No.",DISCLOSURE TITLE,LOCATION/PAGE NO.,MAPPED TO SDGs
Training and Education,,,,
GRI 404: Training and Education 2016,,,,
,404-1,Average hours of training per year per employee,47,
,404-2,"Programs for upgrading employee skills and transition
assistance programs","40,46-47",
Topic 11.9 Occupational health and safety,,,,
"GRI 403: Occupational
Health and Safety
2018",403-1,Occupational health and safety management system,45-47,
,403-2,"Hazard identification, risk assessment, and incident investigation",45-47,
,403-13,Occupational health services,45-47,
,403-4,"Worker participation, consultation, and communication on
occupational health and safety",45-47,
,403-5,Worker training on occupational health and safety,45-47,
,403-6,Promotion of worker health,45-47,
,403-7,"Prevention and mitigation of occupational health and safety
impacts directly linked by business relationships",45-47,
,403-8,"Workers covered by an occupational health and safety
management system",45-47,
"Topic 11.2 Climate adaptation, resilience and transition",,,,
"GRI 305: Emissions
2016",305-1,Direct (Scope 1) GHG emissions,41-42,
,305-2,Energy indirect (Scope 2) GHG emissions,41-42,
,305-3,Other indirect (Scope 3) GHG emissions,41-42,
,305-4,GHG emissions intensity,41-42,
,305-5,Reduction of GHG emissions,41-42,
Topic 11.1 GHG Emissions,,,,
GRI 302: Energy 2016,302-1,Energy consumption within the organization,41-42,
,302-3,302-3 Energy intensity,41-42,
,302-4,302-4 Reduction of energy consumption,41-42,
,302-5,"302-5 Reductions in energy requirements of products and
services",41-42,
Topic 11.5 Waste,,,,
GRI 306: Waste 2020,306-1,Waste generation and significant waste-related impacts,43-44,
,306-2,Management of significant waste-related impacts,43-44,
,306-3,Waste generated,43-44,
,306-4,Waste diverted from disposal,43-44,
,306-5,Waste directed to disposal,43-44,
