Column,KShs’000,KShs’000,KShs’000
31 December 2021,,,
Assets,,,
Trade and other receivables,-,"910,461","910,461"
Amounts due from related companies,-,"2,223,257","2,223,257"
Bank balances,"390,349","4,052,737","4,443,086"
Total assets,"390,349","7,186,455","7,576,804"
Liabilities,,,
Trade and other payables,"(453,854)","(2,717,314)","(3,171,168)"
Amounts due to holding and related companies,"(376,415)","(2,313,429)","(2,689,844)"
Total liabilities,"(830,269)","(5,030,743)","(5,861,012)"
Net exposure,"(439,920)","2,155,712","1,715,792"
31 December 2020,,,
Assets,,,
Trade and other receivables,-,"295,039","295,039"
Amounts due from to related companies,-,"1,449,598","1,449,598"
Bank balances,"308,761","1,635,697","1,944,458"
Total assets,"308,761","3,380,334","3,689,095"
Liabilities,,,
Trade and other payables,"(631,920)","(1,485,913)","(2,117,833)"
Amounts due to holding and related companies,"(646,500)","(1,353,370)","(1,999,870)"
Total liabilities,"(1,278,420)","(2,839,283)","(4,117,703)"
Net exposure,"(969,659)","541,051","(428,608)"
