GRI STANDARD,"GRI
DISCLOSURE
No.",DISCLOSURE TITLE,LOCATION/PAGE NO.,MAPPED TO SDGs
General disclosures,,,,
"GRI 2: General
Disclosures 2021",2-1,Organizational details,30-36,
,2-2,Entities included in the organization’s sustainability reporting,36-38,
,2-3,"Reporting period, frequency and contact point",38-39,
,2-4,Restatements of information,30-36,
,2-5,External assurance,Annual report,
,2-6,"Activities, value chain and other business relationships",30-36,
,2-7,Employees,"33, 45, 47, 48-50",
,2-8,Workers who are not employees,33,
,2-9,Governance structure and composition,"36,48 and Annual report",
,2-10,Nomination and selection of the highest governance body,36 and Annual report,
,2-11,Chair of the highest governance body,Annual report,
,2-12,"Role of the highest governance body in overseeing the
management of impacts","36, and Annual report",
,2-13,Delegation of responsibility for managing impacts,Annual report,
,2-14,Role of the highest governance body in sustainability reporting,Annual report,
,2-15,Conflicts of interest,Annual report,
,2-16,Communication of critical concerns,Annual report,
,2-17,Collective knowledge of the highest governance body,Annual report,
,2-18,Evaluation of the performance of the highest governance body,Annual report,
,2-19,Remuneration policies,Annual report,
,2-20,Process to determine remuneration,Annual report,
,2-21,Annual total compensation ratio,Annual report,
,2-22,Statement on sustainable development strategy,37-38,
,2-23,Policy commitments,Annual report,
,2-24,Embedding policy commitments,Annual report,
,2-25,Processes to remediate negative impacts,39-40,
,2-26,Mechanisms for seeking advice and raising concerns,39-40,
,2-27,Compliance with laws and regulations,"33,48 and Annual report",
,"2-28
2-29","Membership associations
Approach to stakeholder engagement","36
39-41",
,2-30,Collective bargaining agreements,47,
