31 December 2023,Total
,KShs’000
Amounts due from related companies,"2,377,052"
Trade receivables,
Network,"3,272,268"
Non-network,"22,916,336"
,"26,188,604"
Other receivables,"1,709,358"
Government securities held at FVOCI,"7,743,929"
Bank balances,"7,878,221"
Financial guarantees given,"1,812,555"
,"47,709,719"
31 December 2022,
Amounts due from related companies,"1,120,612"
Trade receivables,
"147
Network","1,718,002"
Non-network,"20,271,180"
,"21,989,182"
Other receivables,"2,274,178"
Bank balances,"19,595,045"
Financial guarantees given,"1,709,461"
,"46,688,478"
