Column,2023,2022
,KShs’000,KShs’000
Directors’ emoluments – fees [Note 20 (vi)],"7,960","10,080"
- other cash emoluments [Note 20 (vi)],"88,110","83,822"
Payroll and staff costs [Note 6 (a) (i)],"1,902,488","1,733,381"
"Depreciation on property, plant and equipment (Note 12)","1,763,272","1,682,879"
Depreciation on right-of-use assets (Note 13),"217,844","244,982"
Amortisation of intangible assets (Note 15),"45,000","35,733"
Repairs and maintenance,"757,588","665,510"
General assistance [Note 20 (iv)],"961,828","746,689"
Utilities,"431,763","470,084"
Expense relating to variable leases and short-term leases,"278,353","252,538"
Other expenses*,"298,873","277,270"
Legal and other professional fees,"614,643","236,146"
Advertising and promotion,"404,310","410,698"
Travelling,"150,458","128,201"
Insurance,"105,002","131,535"
Auditors’ remuneration,,
-Statutory audit,"11,871","9,066"
-Other non-audit services,"1,000",925
,"8,040,363","7,119,539"
