COST,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
At 1 January 2021,"223,124","6,700,036","18,198,142","947,495","861,883","26,930,680"
Additions,-,"325,878","1,143,236","18,762","679,143","2,167,019"
Transfers*,-,"90,061","713,024","54,041","(856,416)",710
Disposals,-,"(29,736)","(123,880)","(3,635)",-,"(157,251)"
At 31 December 2021,"223,124","7,086,239","19,930,522","1,016,663","684,610","28,941,158"
DEPRECIATION,,,,,,
At 1 January 2021,-,"3,097,651","11,927,771","882,320",-,"15,907,742"
Charge for the year,-,"420,026","1,063,593","47,835",-,"1,531,454"
Disposals,-,"(5,572)","(80,554)","(3,588)",-,"(89,714)"
At 31 December 2021,-,"3,512,105","12,910,810","926,567",-,"17,349,482"
NET CARRYING AMOUNT,,,,,,
At 31 December 2021,"223,124","3,574,134","7,019,712","90,096","684,610","11,591,676"
