Column,KShs’000,KShs’000
Accelerated depreciation,"194,475","157,039"
Legal costs provision,"89,992","125,993"
Allowance for expected credit losses,"156,716","146,750"
Unrealised exchange gain,"(156,851)","(138,732)"
Unrealised exchange loss,"138,938","95,530"
Leases,"(38,475)","(30,590)"
Inventory provision,"7,068","17,264"
Provision for retirement benefits,224,"10,187"
Leave provision,"6,554","3,352"
Bonus provision,"6,902","6,471"
Provision for amortization of LPG,-,600
Net deferred tax assets,"405,543","393,864"
(ii). Movement on the deferred tax account is as follows:,,
At 1 January,"393,864","308,343"
Adjustment in respect of previous years’ tax (Note 9),-,-
Deferred tax credit recognized in profit or loss [Note 9 (i)],"11,679","85,521"
At 31 December,"405,543","393,864"
