Payroll and staff costs [Note 6 (a)],"1,733,381","1,530,072"
"Depreciation on property, plant and equipment (Note 12)","1,682,879","1,531,454"
Depreciation on right-of-use assets (Note 13),"244,982","238,835"
Amortisation of intangible assets (Note 15),"35,733","28,501"
Directors’ emoluments,,
- Fees (Note 6),"10,080","8,500"
- Other emoluments (Note 6),"83,822","67,641"
- Non-cash emoluments [Note 19 (vi)],"22,320","15,866"
Auditors’ remuneration (Note 6),"9,066","8,762"
Net foreign exchange loss [Note 7 (c)],-,"56,040"
And after crediting:,,
Net foreign exchange gain [Note 7 (c)],"146,842",-
Gain on disposal of leasehold land (Note 5),-,"275,000"
"Gain on disposal of property, plant and equipment (Note 5)",-,"87,432"
