Director,Role,Category,"Gross
earnings
including
pension
contribution","Annual
Bonus","Directors
fees","Sitting
allowances",Benefits*,Total
31 December 2018,,,KShs’000’,KShs’000’,KShs’000’,KShs’000’,KShs’000’,KShs’000’
Jean- Phillipe Torres,"Chairman- Appointed on 05
September 2018",Non-executive,-,-,-,-,-,-
Jean-Christian Bergeron,"Chairman- Retired on 05
September 2018",Non-executive,-,-,-,-,-,-
Olagoke Aluko,"Managing Director- Appointed
on 01 October 2018",Executive,"5,369",-,-,-,"3,030","8,399"
Anne-Solange Renouard,"Managing Director- Retired on
01 October 2018",Executive,"23,179","5,785",-,-,"10,644","39,608"
Premanand Dhoomon,Finance Director,Executive,"18,055","1,014",-,-,"8,503","27,572"
Macharia Irungu,"Strategy and Corporate
Affairs Director",Executive,"15,358","2,897",-,-,-,"18,255"
Stanislas Mittelman,,Non-executive,-,-,-,-,-,-
Joe Muchekehu,,Non-executive,-,-,"1,600",600,-,"2,200"
Joseph Karago,,Non-executive,-,-,"1,600",900,-,"2,500"
Jerome Burban,Retired on 01 October 2018,Non-executive,-,-,-,-,-,-
Severine Julien,"Appointed on 01 October
2018",Non-executive,-,-,-,-,-,-
Margaret W.N. Shava,,Non-executive,-,-,"1,600","1,000",-,"2,600"
Totals,,,"61,961","9,696","4,800","2,500","22,177","101,134"
Summary,,,,,,,,
Cash emoluments,,,"61,961","9,696","4,800","2,500",-,"78,957"
Non-cash emoluments,,,-,-,-,-,"22,177","22,177"
Totals,,,"61,961","9,696","4,800","2,500","22,177","101,134"
