Chairman,Column,Column,Column
Olagoke Aluko,5,5,100%
Executive Director – Managing Director,,,
Eric Fanchini,5,5,100%
Non- Executive Directors,,,
Jean-Philippe Torres (Alternate Director to Olagoke Aluko),5,1,20%
Guillaume Navez,5,5,100%
Independent Directors,,,
Joseph Karago,5,5,100%
Maurice Odhiambo K’Anjejo,5,5,100%
Catherine Musakali (Appointed on 27 November 2023),-,-,-
Alternate Directors,,,
"Lawrencia Gichatha (Alternate Director to Eric Fanchini
and Guillaume Navez)",5,5,100%
Adele Tura (Alternate Director to Jean-Philippe Torres),5,5,100%
Company Secretary,,,
John Maonga,5,5,100%
