BAC,Board Audit Committee
BRGC,Board Risk and Governance Committee
CO2,Carbon Dioxide
CSR,Corporate Social Responsibility
EPRA,Energy and Petroleum Regulatory Authority
EHS,"Environment, Health & Safety"
EMCA,Environmental Management and Coordination Act
ECMs,Energy Conservation Measures
ESG,"Environmental, Social, and Governance"
GHG,Greenhouse Gases
GRI,Global Reporting Initiative
GPS,Global Positioning System
GW,Gigawatt
HSE,"Health, Safety and Environment"
HODS,Heads of Departments
HSEQ,"Health, Safety, Environment and Quality"
LED,Light-Emitting Diode
LOBP,Lubricant Oil Blending Plant
LPG,Liquified Petroleum Gas
MAESTRO,Management and Expectations Standards Towards Robust Operations
MFIs,Microfinance Institutions
MJT,Mombasa Joint Terminal
MOPM,Ministry of Petroleum and Mining
NGOs,Non-Governmental Organizations
NEMA,National Environment Management Authority
OSMAG,Oil Spill Mutual Aid Group
PLC,Public Limited Company
PIEA,Petroleum Institute of East Africa
SWOD,Safe Waste Oil Disposal
SACCO,Savings and Credit Cooperative Organization or Society
SDGs,Sustainable Development Goals
SRM,Stakeholder Relationship Management
SWRW,Safe Way Right Way
TCFD,Task Force on Climate-related Financial Disclosures
WED,World Environment Day
WEEE,Waste Electrical and Electronic Equipment
