"LeAD trAnsActIon ADVIsor, soLe BooKrunner & FInAncIAL ADVIsor",Column
"Renaissance Capital (Kenya) Limited
Purshottam Place, 6th Floor
Westlands Road, Chiromo
P.O. Box 40560-0100, Nairobi, KENYA
Tel: +254 20 368 2000
Fax: +254 (20) 368 2339
Email: infokenya@rencap.com
Web: www.rencap.com",
LeAD sPonsorInG BroKer,co-sPonsorInG BroKer
"African Alliance Rwanda Limited
Centenary House, 6th Floor
Avenue de la Paix
P.O. Box 638 Kigali, RWANDA
Tel.: +250 785 694490
Email: securitiesrw@africanalliance.com
Web: www.africanalliance.com","Dyer & Blair Securities Rwanda Limited
Chadel Building, 3rd Floor
Avenue de la Mille Collines
P.O. Box 5292 Kigali, RWANDA
Tel.: +250 782 498 750
Email: shares@dyerandblair.com
Web: www.dyerandblair.com"
rePortInG AccountAnts’,
"Ernst & Young Rwanda SARL
Bank of Kigali Building
Avenue de la Paix
P.O. Box 3638 Kigali, RWANDA
Tel: +250 788 309 977 / +250 788 303 322
Fax: +250 571 059
Email: info@rw.ey.com
Web: www.ey.com",
trAnsActIon LAWYers,
"RR Associates & Co. Advocates
2nd Floor, Concorde House
Boulevard de l’Umuganda, Kacyiru
P.O. Box 958 Kigali, RWANDA
Tel: +250 255 102476
Email: arugango@rrassociateslaw.com
Web: www.rrassociateslaw.com","Mboya and Wangong’u Advocates
Lex Chambers,
Maji Mazuri Road
P.O. Box 74041 - 00200 Nairobi, KENYA
Tel: +254 20 434 8356/ 60
Email: pwaiyaki@mboyawangongu.com
Web: www.mboyawangongu.com"
receIVInG BAnK,
"Bank of Kigali Limited
Company Code: 100003458
6112, Avenue de la Paix
P.O. Box 175 Kigali, RWANDA
Tel: +250 252 593100 / +250 0788143000
Fax: +250 252 573461 / +250 252 575504
Email: bk@bk.rw
Web: www.bk.rw",
PuBLIc reLAtIons consuLtAnt,reGIstrArs
"Vantage Communications
La Bonne Adresse House, 2nd Floor
P.O BOX 1891 Kigali, RWANDA
Tel: +250 785 315525
Fax: +256 414 510391
Email: tomara@rw.vantagecom.net
Web: www.vantage.co.ug","CDSC Registrars Rwanda Limited
Ecobank Building, 5th Floor
Avenue de la Paix P.O. Box 7286
Kigali, RWANDA
Tel: +250 784 110636
Email: registrar@cdsckenya.com
Web: www.cdsckenya.com"
