Column,Year ended 31 December 2009,Land,Building,"Computer
equipment","Motor
vehicles","Furniture,
Fittings
and
equipment","Work in
progress",Total
,,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000
,cost or valuation,,,,,,,
,At 1 January 2009,"31,172","5,724,498","682,581","311,436","1,827,540",-,"8,577,227"
,Additions,-,"463,627","220,437",-,"1,019,045",-,"1,703,109"
,At 31 December 2009,"31,172","6,188,125","903,018","311,436","2,846,585",-,"10,280,336"
,Depreciation,,,,,,,
,At 1 January 2009,-,"1,263,473","561,657","161,479","1,032,066",-,"3,018,675"
,Charge for the year,-,"306,120","170,680","37,489","372,217",-,"886,506"
,At 31 December 2009,-,"1,569,593","732,337","198,968","1,404,283",-,"3,905,181"
,net book value,,,,,,,
,At 31 December 2009,"31,172","4,618,532","170,681","112,468","1,442,302",-,"6,375,155"
"Included in buildings in 2009 are fully depreciated buildings amounting to RwF 29,952, 082",,,,,,,,
,Year ended 31 December 2008,Land,Building,"Computer
equipment","Motor
vehicles","Furniture,
Fittings
and
equipment","Work in
progress",Total
,,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000
,cost or valuation,,,,,,,
,At 1 January 2008,"23,537","1,294,916","570,907","164,372","1,146,277","4,317,256","7,517,265"
,Additions,"7,635","112,326","111,674","147,064","681,263",-,"1,059,962"
,transfers /Reclassifications,,"4,317,256",,,,"(4,317,256)",
,At 31 December 2008,"31,172","5,724,498","682,581","311,436","1,827,540",-,"8,577,227"
,Depreciation,,,,,,,
,At 1 January 2008,-,"978,163","440,734","111,493","751,851",-,"2,282,241"
,Charge for the year,-,"285,310","120,923","49,986","280,215",-,"736,434"
,At 31 December 2008,-,"1,263,473","561,657","161,479","1,032,066",-,"3,018,675"
,net book value,,,,,,,
,At 31 December 2008,"31,172","4,461,025","120,924","149,957","795,474",-,"5,558,552"
"Work in Progress in 2008 relates to the expenses incurred in constructing the new Bank of Kigali building (head office) on plot
number 6112, Avenue de la Paix.",,,,,,,,
