Value-Added Statement,2023,%,2022,%
"Interest, commissions, and other revenues","289,839,032",,"240,921,133",
Interest paid to depositors and costs of services,")65,477,018(",,")90,632,911(",
Net impairment loss on financial assets,")18,606,589(",,")10,006,879(",
Total Value Added,"205,755,426",,"140,281,343",
Distribution of Value Added to Employees,,,,
"Salaries, wages, and other benefits","26,945,268",13%,"26,096,643",18.6%
To Government,,,,
Corporation Tax,"34,894,241",17%,"28,730,466",20.4%
VAT,"3,021,252",1%,"5,459,683",3.9%
Withholding Tax,"3,059,688",1%,"2,992,084",2.1%
District Taxes,"35,229",0%,"63,034",0.0%
PAYE Tax,"15,881,207",8%,"8,942,773",6.4%
,"56,891,618",28%,"46,188,040",32.9%
To Shareholders,,,,
Dividends paid to shareholders,"22,444,772",11%,"29,862,155",21.2%
To Expansion and Growth,,,,
